"Id","User","Host","db","Command","Time","State","Info"
"5","event_scheduler","localhost",,"Daemon","1","Waiting for next activation",
"47326483","pixel_rw","35.196.36.229:60870","pixel_v2","Sleep","35","",
"50357715","root","127.0.0.1:57176",,"Sleep","29","",
"51527500","root","146.148.83.186:39598",,"Query","13536","executing","SET @test_evt_at := (
  SELECT MAX(created_at)
  FROM `VettaFi`.superpixel_resolution_log
  WHERE created_at >= @now - INTERVAL @test_days DAY
    AND (
      LOWER(uuid)         LIKE 'test%'
    )
)"
"51528225","root","146.148.83.186:37528",,"Query","13131","executing","SET @test_evt_at := (
  SELECT MAX(created_at)
  FROM `VettaFi`.superpixel_resolution_log
  WHERE created_at >= @now - INTERVAL @test_days DAY
    AND (
      LOWER(uuid)         LIKE 'test%'
    )
)"
"51528944","root","146.148.83.186:57380",,"Query","12805","executing","SET @test_evt_at := (
  SELECT MAX(created_at)
  FROM `VettaFi`.superpixel_resolution_log
  WHERE created_at >= @now - INTERVAL @test_days DAY
    AND (
      LOWER(uuid)         LIKE 'test%'
    )
)"
"51529430","root","146.148.83.186:41056",,"Query","12526","executing","SET @test_evt_at := (
  SELECT MAX(created_at)
  FROM `VettaFi`.superpixel_resolution_log
  WHERE created_at >= @now - INTERVAL @test_days DAY
    AND (
      LOWER(uuid)         LIKE 'test%'
    )
)"
"51530394","root","146.148.83.186:49244",,"Query","12251","executing","SET @test_evt_at := (
  SELECT MAX(created_at)
  FROM `VettaFi`.superpixel_resolution_log
  WHERE created_at >= @now - INTERVAL @test_days DAY
    AND (
      LOWER(uuid)         LIKE 'test%'
    )
)"
"51531063","root","146.148.83.186:44760",,"Query","11877","executing","SET @test_evt_at := (
  SELECT MAX(created_at)
  FROM `VettaFi`.superpixel_resolution_log
  WHERE created_at >= @now - INTERVAL @test_days DAY
    AND (
      LOWER(uuid)         LIKE 'test%'
    )
)"
"51531845","root","146.148.83.186:34048",,"Query","11545","executing","SET @test_evt_at := (
  SELECT MAX(created_at)
  FROM `VettaFi`.superpixel_resolution_log
  WHERE created_at >= @now - INTERVAL @test_days DAY
    AND (
      LOWER(uuid)         LIKE 'test%'
    )
)"
"51533024","root","146.148.83.186:40242",,"Query","11241","executing","SET @test_evt_at := (
  SELECT MAX(created_at)
  FROM `VettaFi`.superpixel_resolution_log
  WHERE created_at >= @now - INTERVAL @test_days DAY
    AND (
      LOWER(uuid)         LIKE 'test%'
    )
)"
"51533786","root","146.148.83.186:58398",,"Query","10931","executing","SET @test_evt_at := (
  SELECT MAX(created_at)
  FROM `VettaFi`.superpixel_resolution_log
  WHERE created_at >= @now - INTERVAL @test_days DAY
    AND (
      LOWER(uuid)         LIKE 'test%'
    )
)"
"51534473","root","146.148.83.186:58112",,"Query","10616","executing","SET @test_evt_at := (
  SELECT MAX(created_at)
  FROM `VettaFi`.superpixel_resolution_log
  WHERE created_at >= @now - INTERVAL @test_days DAY
    AND (
      LOWER(uuid)         LIKE 'test%'
    )
)"
"51535216","root","146.148.83.186:39014",,"Query","10363","executing","SET @test_evt_at := (
  SELECT MAX(created_at)
  FROM `VettaFi`.superpixel_resolution_log
  WHERE created_at >= @now - INTERVAL @test_days DAY
    AND (
      LOWER(uuid)         LIKE 'test%'
    )
)"
"51535840","root","146.148.83.186:48668",,"Query","10051","executing","SET @test_evt_at := (
  SELECT MAX(created_at)
  FROM `VettaFi`.superpixel_resolution_log
  WHERE created_at >= @now - INTERVAL @test_days DAY
    AND (
      LOWER(uuid)         LIKE 'test%'
    )
)"
"51536600","root","146.148.83.186:36302",,"Query","9758","executing","SET @test_evt_at := (
  SELECT MAX(created_at)
  FROM `VettaFi`.superpixel_resolution_log
  WHERE created_at >= @now - INTERVAL @test_days DAY
    AND (
      LOWER(uuid)         LIKE 'test%'
    )
)"
"51537484","root","146.148.83.186:57276",,"Query","9453","executing","SET @test_evt_at := (
  SELECT MAX(created_at)
  FROM `VettaFi`.superpixel_resolution_log
  WHERE created_at >= @now - INTERVAL @test_days DAY
    AND (
      LOWER(uuid)         LIKE 'test%'
    )
)"
"51537641","root","146.148.83.186:49540",,"Query","9157","executing","SET @test_evt_at := (
  SELECT MAX(created_at)
  FROM `VettaFi`.superpixel_resolution_log
  WHERE created_at >= @now - INTERVAL @test_days DAY
    AND (
      LOWER(uuid)         LIKE 'test%'
    )
)"
"51537769","root","146.148.83.186:33986",,"Query","8773","executing","SET @test_evt_at := (
  SELECT MAX(created_at)
  FROM `VettaFi`.superpixel_resolution_log
  WHERE created_at >= @now - INTERVAL @test_days DAY
    AND (
      LOWER(uuid)         LIKE 'test%'
    )
)"
"51538028","root","146.148.83.186:57424",,"Query","8502","executing","SET @test_evt_at := (
  SELECT MAX(created_at)
  FROM `VettaFi`.superpixel_resolution_log
  WHERE created_at >= @now - INTERVAL @test_days DAY
    AND (
      LOWER(uuid)         LIKE 'test%'
    )
)"
"51538131","root","146.148.83.186:43022",,"Query","8175","executing","SET @test_evt_at := (
  SELECT MAX(created_at)
  FROM `VettaFi`.superpixel_resolution_log
  WHERE created_at >= @now - INTERVAL @test_days DAY
    AND (
      LOWER(uuid)         LIKE 'test%'
    )
)"
"51538272","root","146.148.83.186:34474",,"Query","7900","executing","SET @test_evt_at := (
  SELECT MAX(created_at)
  FROM `VettaFi`.superpixel_resolution_log
  WHERE created_at >= @now - INTERVAL @test_days DAY
    AND (
      LOWER(uuid)         LIKE 'test%'
    )
)"
"51538543","root","146.148.83.186:55440",,"Query","7612","executing","SET @test_evt_at := (
  SELECT MAX(created_at)
  FROM `VettaFi`.superpixel_resolution_log
  WHERE created_at >= @now - INTERVAL @test_days DAY
    AND (
      LOWER(uuid)         LIKE 'test%'
    )
)"
"51538653","root","146.148.83.186:60066",,"Query","7209","executing","SET @test_evt_at := (
  SELECT MAX(created_at)
  FROM `VettaFi`.superpixel_resolution_log
  WHERE created_at >= @now - INTERVAL @test_days DAY
    AND (
      LOWER(uuid)         LIKE 'test%'
    )
)"
"51538805","root","146.148.83.186:36312",,"Query","6900","executing","SET @test_evt_at := (
  SELECT MAX(created_at)
  FROM `VettaFi`.superpixel_resolution_log
  WHERE created_at >= @now - INTERVAL @test_days DAY
    AND (
      LOWER(uuid)         LIKE 'test%'
    )
)"
"51539144","root","146.148.83.186:51512",,"Query","6552","executing","SET @test_evt_at := (
  SELECT MAX(created_at)
  FROM `VettaFi`.superpixel_resolution_log
  WHERE created_at >= @now - INTERVAL @test_days DAY
    AND (
      LOWER(uuid)         LIKE 'test%'
    )
)"
"51539811","root","146.148.83.186:47162",,"Query","6231","executing","SET @test_evt_at := (
  SELECT MAX(created_at)
  FROM `VettaFi`.superpixel_resolution_log
  WHERE created_at >= @now - INTERVAL @test_days DAY
    AND (
      LOWER(uuid)         LIKE 'test%'
    )
)"
"51540470","root","146.148.83.186:54860",,"Query","5947","executing","SET @test_evt_at := (
  SELECT MAX(created_at)
  FROM `VettaFi`.superpixel_resolution_log
  WHERE created_at >= @now - INTERVAL @test_days DAY
    AND (
      LOWER(uuid)         LIKE 'test%'
    )
)"
"51541500","root","146.148.83.186:43846",,"Query","5583","executing","SET @test_evt_at := (
  SELECT MAX(created_at)
  FROM `VettaFi`.superpixel_resolution_log
  WHERE created_at >= @now - INTERVAL @test_days DAY
    AND (
      LOWER(uuid)         LIKE 'test%'
    )
)"
"51542223","root","146.148.83.186:52754",,"Query","5252","executing","SET @test_evt_at := (
  SELECT MAX(created_at)
  FROM `VettaFi`.superpixel_resolution_log
  WHERE created_at >= @now - INTERVAL @test_days DAY
    AND (
      LOWER(uuid)         LIKE 'test%'
    )
)"
